	;	Shine NPC table(ShineNPC.txt)																
	#recordin	LinkTable								EldGbl001	BFGate01	BFGate01	1438	2341	0	1	120	1
;	??? ?																	
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	3214	23696	-84	0	Gate	UrgFire011								
;	#recordin	LinkTable								UrgFire011	Croad01	Croad01	10777	10660	37	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	16782	22808	0	0	Gate	UrgFire012								
;	#recordin	LinkTable								UrgFire012	FireDn01	FireDn01	6402	6727	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	2117	3218	54	0	Gate	UrgFire013								
;	#recordin	LinkTable								UrgFire013	UrgFireDn01	UrgFireDn01	2625	11402	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	18729	24590	56	0	Gate	UrgFire014								
;	#recordin	LinkTable								UrgFire014	Adl	Adl	26689	18161	-110	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	15323	1802	22	0	Gate	UrgFire015								
;	#recordin	LinkTable								UrgFire015	Urg	Urg	7911	11085	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	10958	23670	19	0	Gate	UrgFire016								
;	#recordin	LinkTable								UrgFire016	EldFor01	EldFor01	7277	6700	0	1	120	1
;	??? ? ??? ?? ??? ??																	
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	1431	17092	30	0	Gate	UrgFire017								
;	#recordin	LinkTable								UrgFire017	QField03	QField03	1294	1221	15	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	22113	22810	90	0	Gate	UrgFire018								
;	#recordin	LinkTable								UrgFire018	QField04	QField04	610	1355	60	1	120	1
;	??? ??? ?? ??																	
	#recordin	ShineNPC	EldArcGuard03	RouVal01	13359	7862	0	1	Merchant	Item								
	#recordin	ShineNPC	TempSkill	RouVal01	12776	7862	0	1	Merchant	Skill								
;	??? ??? ???? NPC																	
	#recordin	ShineNPC	Gate_Town	RouVal01	13660	7862	0	1	QuestNpc	Quest								
;	??? ?? ?? ??																	
;	#recordin	ShineNPC	EldArcGuard03	RouCos03	7010	15732	-41	1	Merchant	Item								
;	#recordin	ShineNPC	TempSkill	RouCos03	7574	16040	-41	1	Merchant	Skill								
;	??? ??																	
;	#recordin	ShineNPC	FbattleGate	RouN	4513	5996	69	0	Gate	Fbattle011								
;	#recordin	LinkTable								Fbattle011	Fbattle01	Fbattle01	923	3305	0	1	120	1
	#recordin	ShineNPC	FbattleGate	Eld	10223	11180	-89	0	Gate	Fbattle021								
	#recordin	LinkTable								Fbattle021	Fbattle02	Fbattle02	3666	4363	0	1	120	1
	#recordin	ShineNPC	FbattleGate	Urg	4405	6439	49	0	Gate	Fbattle031								
	#recordin	LinkTable								Fbattle031	Fbattle03	Fbattle03	2744	3085	0	1	120	1
;	??? ??																	
;	#recordin	ShineNPC	FbattleGate	Fbattle01	783	3506	0	0	Gate	Fbattle012								
;	#recordin	LinkTable								Fbattle012	RouN	RouN	4658	5988	-67	1	120	1
;	#recordin	ShineNPC	FbattleGate	Fbattle01	311	257	45	0	Gate	Fbattle013								
;	#recordin	LinkTable								Fbattle013	RouN	RouN	4658	5988	-67	1	120	1
	#recordin	ShineNPC	FbattleGate	Fbattle02	3845	4368	0	0	Gate	Fbattle022								
	#recordin	LinkTable								Fbattle022	Eld	Eld	10385	11171	0	1	120	1
	#recordin	ShineNPC	FbattleGate	Fbattle02	3826	1880	-46	0	Gate	Fbattle023								
	#recordin	LinkTable								Fbattle023	Eld	Eld	10385	11171	0	1	120	1
	#recordin	ShineNPC	FbattleGate	Fbattle03	2902	3092	49	0	Gate	Fbattle032								
	#recordin	LinkTable								Fbattle032	Urg	Urg	4261	6300	0	1	120	1
	#recordin	ShineNPC	FbattleGate	Fbattle03	112	106	46	0	Gate	Fbattle033								
	#recordin	LinkTable								Fbattle033	Urg	Urg	4261	6300	0	1	120	1
;	??? ??? ??? npc																	
	#recordin	ShineNPC	GodEnide	RouVal01	11413	14531	0	1	QuestNpc	Quest								
;	???? ??																	
	#recordin	ShineNPC	MapLinkGate	EldGbl02	10646	6591	-75	0	Gate	EldGbl021								
	#recordin	LinkTable								EldGbl021	RouVal02	RouVal02	5592	1842	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldGbl02	10702	2103	-34	0	Gate	EldGbl022								
	#recordin	LinkTable								EldGbl022	EldGbl01	EldGbl01	6719	7558	60	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldGbl02	1796	8032	-54	0	Gate	EldGbl023								
	#recordin	LinkTable								EldGbl023	WindyCave	WindyCave	2075	2562	36	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldGbl02	5423	3287	0	0	Gate	EldGbl024								
;	#recordin	LinkTable								EldGbl024	Linkfield01	Linkfield01	8955	6503	0	1	120	1
;	??? ??(30????)																	
	#recordin	ShineNPC	EldSpeGuard03	CemDn02	5606	15618	-88	0	Gate	CemDn021								
	#recordin	LinkTable								CemDn021	BFGate01	BFGate01	1801	2083	0	1	120	1
;	#recordin	ShineNPC	EldSpeGuard03	CemDn02	9781	6813	-176	0	Gate	CemDn022								
;	#recordin	LinkTable								CemDn022	BFGate01	BFGate01	1898	1503	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	EldPri02	9671	2676	-15	0	Gate	EldPri021								
	#recordin	LinkTable								EldPri021	EldPri01	EldPri01	1069	11132	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri02	6409	5453	0	0	Gate	EldPri022								
;	#recordin	LinkTable								EldPri022	PriDn01	PriDn01	12208	4514	-90	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri02	2203	2532	25	0	Gate	EldPri023								
;	#recordin	LinkTable								EldPri023	EldPri02D	EldPri02D	7265	1050	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri02	1427	3817	70	0	Gate	EldPri024								
;	#recordin	LinkTable								EldPri024	Urg_Alruin	Urg_Alruin	16380	3353	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldPri02	5752	2815	180	0	Gate	EldPri025								
	#recordin	LinkTable								EldPri025	GoldCave	GoldCave	18604	5130	-36	1	120	1
;	OX??																	
	#recordin	ShineNPC	MapLinkGate	OX_field	7519	4927	0	0	Gate	OX_field01								
	#recordin	LinkTable								OX_field01	RouN	RouN	7090	6155	0	1	120	1
;	??? ?																	
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	6705	3534	0	0	Gate	UrgSwa011								
;	#recordin	LinkTable								UrgSwa011	Croad01	Croad01	3918	4453	-39	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	20295	22347	12	0	Gate	UrgSwa012								
;	#recordin	LinkTable								UrgSwa012	UrgSwaDn01	UrgSwaDn01	5647	11393	-161	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	8919	12892	90	0	Gate	UrgSwa013								
;	#recordin	LinkTable								UrgSwa013	SwaDn01	SwaDn01	6067	11124	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	22317	21291	88	0	Gate	UrgSwa014								
;	#recordin	LinkTable								UrgSwa014	BH_Helga	BH_Helga	1593	2913	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	6865	22065	0	0	Gate	UrgSwa015								
;	#recordin	LinkTable								UrgSwa015	Urg_Alruin	Urg_Alruin	16479	3515	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	6634	22186	0	0	Gate	UrgSwa016								
;	#recordin	LinkTable								UrgSwa016	Adl	Adl	31041	19641	85	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	11546	15781	0	0	Gate	UrgSwa017								
;	#recordin	LinkTable								UrgSwa017	B_Cracker	B_Cracker	2470	1434	45	1	150	1
;	#recordin	LinkTable								UrgSwa017	BH_Cracker	BH_Cracker	2744	2172	-167	1	150	1
;	??? ?																	
;	#recordin	ShineNPC	MapLinkGate	SwaDn01	6068	11314	0	0	Gate	SwaDn011								
;	#recordin	LinkTable								SwaDn011	UrgSwa01	UrgSwa01	9116	12880	90	1	120	1
;	??? ??																	
;	#recordin	ShineNPC	MapLinkGate	UrgSwaDn01	5649	11237	2	0	Gate	UrgSwaDn011								
;	#recordin	LinkTable								UrgSwaDn011	UrgSwa01	UrgSwa01	20276	22285	0	1	150	1
;	??? ?? (Hard)																	
;	#recordin	ShineNPC	MapLinkGate	BH_Helga	1592	3092	0	0	Gate	BH_Helga01								
;	#recordin	LinkTable								BH_Helga01	UrgSwa01	UrgSwa01	22163	21293	88	1	120	1
;	??? ??																	
;	#recordin	ShineNPC	MapLinkGate	R_Helga01	3279	1131	0	0	Gate	R_Helga011								
;	#recordin	LinkTable								R_Helga011	EldSleep01	EldSleep01	14796	7128	100	1	120	1
;	??? ?																	
;	#recordin	ShineNPC	MapLinkGate	B_Cracker	2395	1297	16	0	Gate	B_Cracker01								
;	#recordin	LinkTable								B_Cracker01	UrgDark01	UrgDark01	21438	1995	65	1	150	1
;	#recordin	ShineNPC	MapLinkGate	UrgDark01	21486	1926	-8	0	Gate	UrgDark014								
;	#recordin	LinkTable								UrgDark014	B_Cracker	B_Cracker	2470	1434	45	1	150	1
;	#recordin	ShineNPC	MapLinkGate	B_Cracker	2395	1297	16	0	Gate	B_Cracker01								
;	#recordin	LinkTable								B_Cracker01	UrgSwa01	UrgSwa01	11773	16078	0	1	120	1
;	??? ? (Hard)																	
;	#recordin	ShineNPC	MapLinkGate	BH_Cracker	2716	2059	-167	0	Gate	BH_Cracker01								
;	#recordin	LinkTable								BH_Cracker01	UrgSwa01	UrgSwa01	11773	16078	0	1	120	1
;	??? ?1																	
	#recordin	ShineNPC	EldSpeGuard03	BFGate01	1585	162	177	0	Gate	BFGate011								
	#recordin	LinkTable								BFGate011	Eld	Eld	17511	11551	0	1	120	1
	#recordin	ShineNPC	LevelGuardH0	BFGate01	1799	1622	96	0	Gate	BFGate012								
	#recordin	LinkTable								BFGate012	ValDn02	ValDn02	1592	11159	0	20	35	1
	#recordin	ShineNPC	LevelGuardH1	BFGate01	1709	2159	0	0	Gate	BFGate013								
	#recordin	LinkTable								BFGate013	CemDn02	CemDn02	5678	15617	0	36	49	1
	#recordin	ShineNPC	LevelGuardH2	BFGate01	1274	2250	0	0	Gate	BFGate014								
	#recordin	LinkTable								BFGate014	GblDn02	GblDn02	5081	6146	0	50	59	1
;	???? ??																	
;	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	3995	19782	-8	0	Gate	Urg_Alruin1								
;	#recordin	LinkTable								Urg_Alruin1	EldSleep01	EldSleep01	17445	7120	83	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	11412	21970	0	0	Gate	Urg_Alruin2								
;	#recordin	LinkTable								Urg_Alruin2	Croad01	Croad01	2818	10200	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	17303	15918	169	0	Gate	Urg_Alruin3								
;	#recordin	LinkTable								Urg_Alruin3	AlDn01	AlDn01	11356	1898	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg_Alruin	16386	3233	0	0	Gate	Urg_Alruin4								
;	#recordin	LinkTable								Urg_Alruin4	EldPri02	EldPri02	1476	3845	70	1	120	1
;	#recordin	ShineNPC	EldSpeGuard03	Urg_Alruin	6325	9880	-134	0	Gate	Urg_Alruin5								
;	#recordin	LinkTable								Urg_Alruin5	BFGate03	BFGate03	1589	301	0	1	120	1
;	#recordin	ShineNPC	IDMapLinkGate01	Urg_Alruin	22018	17417	90	0	IDGate	Urg_Alruin6								
;	#recordin	LinkTable								Urg_Alruin6	UrgDragon	UrgDragon	700	5795	0	100	120	1
;	??? ??																	
;	#recordin	ShineNPC	MapLinkGate	UrgDark01	2259	11995	-84	0	Gate	UrgDark011								
;	#recordin	LinkTable								UrgDark011	Urg_Alruin	Urg_Alruin	11357	21862	0	1	120	1
;	#recordin	ShineNPC	KarenGate	UrgDark01	22890	3895	80	0	Gate	UrgDark012								
;	#recordin	LinkTable								UrgDark012	AdlThorn01	AdlThorn01	11602	11719	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgDark01	24317	13300	-88	0	Gate	UrgDark013								
;	#recordin	LinkTable								UrgDark013	Bera	Bera	12275	5412	-88	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgDark01	22890	3895	80	0	Gate	UrgDark014								
;	#recordin	LinkTable								UrgDark014	Adl	Adl	26689	18161	-110	1	120	1
;	??? ?2																	
	#recordin	ShineNPC	EldSpeGuard03	BFGate02	1585	162	177	0	Gate	BFGate021								
	#recordin	LinkTable								BFGate021	Urg	Urg	8339	6738	0	1	120	1
	#recordin	ShineNPC	LevelGuardH3	BFGate02	1799	1622	96	0	Gate	BFGate022								
	#recordin	LinkTable								BFGate022	PriDn02	PriDn02	5154	5059	0	60	69	1
	#recordin	ShineNPC	LevelGuardH4	BFGate02	1709	2159	0	0	Gate	BFGate023								
	#recordin	LinkTable								BFGate023	ElfDn02	ElfDn02	5235	3692	0	70	79	1
	#recordin	ShineNPC	LevelGuardH5	BFGate02	1274	2250	0	0	Gate	BFGate024								
	#recordin	LinkTable								BFGate024	ForDn02	ForDn02	5825	6128	0	80	89	1
;	??? ?3																	
;	#recordin	ShineNPC	EldSpeGuard03	BFGate03	1585	162	177	0	Gate	BFGate031								
;	#recordin	LinkTable								BFGate031	Urg_Alruin	Urg_Alruin	6375	9986	0	1	150	1
;	#recordin	ShineNPC	LevelGuardH7	BFGate03	1019	1963	0	0	Gate	BFGate032								
;	#recordin	LinkTable								BFGate032	SwaDn02	SwaDn02	6067	11124	0	100	109	1
;	#recordin	ShineNPC	LevelGuardH6	BFGate03	1274	2250	0	0	Gate	BFGate025								
;	#recordin	LinkTable								BFGate025	FireDn02	FireDn02	6358	6986	0	90	99	1
;	??? ?4																	
;	#recordin	ShineNPC	EldSpeGuard03	BFGate04	1585	162	177	0	Gate	BFGate041								
;	#recordin	LinkTable								BFGate041	Adl	Adl	12337	14800	0	1	150	1
;	#recordin	ShineNPC	LevelGuardH8	BFGate04	1019	1963	0	0	Gate	BFGate042								
;	#recordin	LinkTable								BFGate042	PsyInDn02	PsyInDn02	11877	14307	180	110	115	1
;	??? ??																	
	#recordin	ShineNPC	EldSpeGuard03	ForDn02	5960	6127	-90	0	Gate	ForDn021								
	#recordin	LinkTable								ForDn021	BFGate02	BFGate02	1273	2083	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	EldSpeGuard03	FireDn02	6358	6854	0	0	Gate	FireDn021								
	#recordin	LinkTable								FireDn021	BFGate03	BFGate03	1273	2083	0	1	120	1
;	??? ?																	
	#recordin	ShineNPC	EldSpeGuard03	SwaDn02	6068	11314	0	0	Gate	SwaDn021								
	#recordin	LinkTable								SwaDn021	BFGate03	BFGate03	1234	1959	0	1	120	1
;	??? ??(20??)																	
	#recordin	ShineNPC	EldSpeGuard03	ValDn02	1479	11336	0	0	Gate	ValDn021								
	#recordin	LinkTable								ValDn021	BFGate01	BFGate01	1898	1503	0	1	120	1
;	??? ??																	
;	#recordin	ShineNPC	EldSpeGuard03	AlDn02	1479	11336	0	0	Gate	AlDn021								
;	#recordin	LinkTable								AlDn021	BFGate01	BFGate01	1898	1503	0	1	120	1
;	??? ??																	
;	#recordin	ShineNPC	EldSpeGuard03	PsyInDn02	11877	14179	180	0	Gate	PsyInDn021								
;	#recordin	LinkTable								PsyInDn021	BFGate04	BFGate04	1234	1959	0	1	120	1
;	???????																	
	#recordin	ShineNPC	MapLinkGate	Linkfield01	3134	2935	34	0	Gate	Linkfield011								
	#recordin	LinkTable								Linkfield011	Eld	Eld	13555	16635	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	Linkfield01	9780	11353	0	0	Gate	Linkfield012								
	#recordin	LinkTable								Linkfield012	EldCem02	EldCem02	673	612	-56	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Linkfield01	9005	6553	-108	0	Gate	Linkfield013								
;	#recordin	LinkTable								Linkfield013	EldGbl02	EldGbl02	5423	3337	0	1	120	1
;	??? ?? ?																	
	#recordin	ShineNPC	MapLinkGate	Linkfield02	1836	9233	-103	0	Gate	Linkfield021								
	#recordin	LinkTable								Linkfield021	EldFor01	EldFor01	7470	19908	-10	1	120	1
	#recordin	ShineNPC	MapLinkGate	Linkfield02	2088	6399	-62	0	Gate	Linkfield022								
	#recordin	LinkTable								Linkfield022	Urg	Urg	10341	12189	-74	1	120	1
	#recordin	ShineNPC	MapLinkGate	Linkfield02	4486	11050	28	0	Gate	Linkfield023								
	#recordin	LinkTable								Linkfield023	EldPri01	EldPri01	2602	1512	-4	1	120	1
	#recordin	ShineNPC	MapLinkGate	Linkfield02	10525	10674	0	0	Gate	Linkfield024								
	#recordin	LinkTable								Linkfield024	LField02D	LField02D	18121	11016	-90	1	120	1
;	??																	
;	#recordin	ShineNPC	MapLinkGate	Bera	12445	5403	-88	0	Gate	Bera001								
;	#recordin	LinkTable								Bera001	UrgDark01	UrgDark01	24240	13311	-88	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Bera	445	6048	-56	0	Gate	Bera002								
;	#recordin	LinkTable								Bera002	BerKal01	BerKal01	21113	19637	-55	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Bera	12477	2060	-81	0	Gate	Bera003								
;	#recordin	LinkTable								Bera003	UrgSwa01	UrgSwa01	6642	22108	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Bera	375	2078	67	0	Gate	Bera004								
;	#recordin	LinkTable								Bera004	UrgFire01	UrgFire01	18542	24464	56	1	120	1
;	????																	
;	#recordin	ShineNPC	MapLinkGate	BerKal01	21388	20035	44	0	Gate	BerKal011								
;	#recordin	LinkTable								BerKal011	Bera	Bera	537	5988	-54	1	120	1
;	#recordin	ShineNPC	MapLinkGate	BerKal01	6161	3884	0	0	Gate	BerKal013								
;	#recordin	LinkTable								BerKal013	Adl	Adl	30393	14046	178	1	120	1
;	#recordin	ShineNPC	MapLinkGate	BerKal01	4483	13158	-80	0	Gate	BerKal014								
;	#recordin	LinkTable								BerKal014	PsyOut	PsyOut	11787	7993	180	1	120	1
;	???1																	
;	#recordin	ShineNPC	MapLinkGate	Croad01	2819	10300	0	0	Gate	Croad011								
;	#recordin	LinkTable								Croad011	Urg_Alruin	Urg_Alruin	11419	21869	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Croad01	3852	4375	-39	0	Gate	Croad012								
;	#recordin	LinkTable								Croad012	UrgSwa01	UrgSwa01	6671	3610	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Croad01	10832	10723	37	0	Gate	Croad013								
;	#recordin	LinkTable								Croad013	UrgFire01	UrgFire01	3340	23738	2	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Croad01	6647	11136	0	0	Gate	Croad014								
;	#recordin	LinkTable								Croad014	Croad01D	Croad01D	7265	1050	0	1	120	1
;	??? ?? ??																	
	#recordin	ShineNPC	MapLinkGate	EldGbl01D	7215	1000	45	0	Gate	EldGbl01D1								
	#recordin	LinkTable								EldGbl01D1	EldGbl01	EldGbl01	11652	11702	23	1	120	1
;	??? ?? ??																	
	#recordin	ShineNPC	MapLinkGate	EldPri02D	7215	1000	45	0	Gate	EldPri02D1								
	#recordin	LinkTable								EldPri02D1	EldPri02	EldPri02	2240	2610	25	1	120	1
;	??? ?? ? ??																	
	#recordin	ShineNPC	MapLinkGate	LField02D	18476	11016	-90	0	Gate	LField02D1								
	#recordin	LinkTable								LField02D1	Linkfield02	Linkfield02	10501	10284	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	Croad01D	7215	1000	45	0	Gate	Croad01D1								
	#recordin	LinkTable								Croad01D1	Croad01	Croad01	6645	11035	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	UrgD	18238	10773	94	0	Gate	UrgD1								
	#recordin	LinkTable								UrgD1	Urg	Urg	11882	2667	-77	1	120	1
;	??? ??																	
	#recordin	ShineNPC	IDMapLinkGate03	IDGate01	1027	1412	0	0	IDGate	IDGate011								
	#recordin	LinkTable								IDGate011	Leviathan	Leviathan	3006	5422	0	114	120	1
	#recordin	ShineNPC	MapLinkGate	IDGate01	389	1420	0	0	Gate	IDGate012								
	#recordin	LinkTable								IDGate012	RouCos02	RouCos02	8228	6660	0	1	120	1
	#recordin	LinkTable								IDGate012	RouCos02_1	RouCos02_1	8228	6660	0	1	120	1
	#recordin	ShineNPC	Raphael	IDGate01	1066	198	135	1	QuestNpc	Quest								
;	???? ??																	
;	#recordin	ShineNPC	KarenGate	AdlThorn01	11459	11393	225	0	Gate	Karen001								
;	#recordin	LinkTable								Karen001	UrgDark01	UrgDark01	22348	3742	0	1	120	1
;	?? ??? ???																	
	#recordin	ShineNPC	Gate_KingSlime	RouCos02	19765	19922	22	0	IDGate	SlimeGate00								
	#recordin	LinkTable								SlimeGate00	KDEddyHill	KDEddyHill	1740	11070	0	20	120	0
	#recordin	ShineNPC	Gate_RagePirates	RouCos03	14291	18457	0	0	IDGate	PiratesGate00								
	#recordin	LinkTable								PiratesGate00	KDPrtShip	KDPrtShip	11069	8456	0	30	120	0
	#recordin	ShineNPC	Gate_Honeying	RouVal02	4830	8846	0	0	IDGate	HoneyGate00								
	#recordin	LinkTable								HoneyGate00	KDHoneying	KDHoneying	1740	11070	0	40	120	0
	#recordin	ShineNPC	Gate_UnderHall	EldCem02	9937	9527	40	0	IDGate	UnderHallGate00								
	#recordin	LinkTable								UnderHallGate00	KDUnHall	KDUnHall	2397	2555	0	50	120	0
	#recordin	ShineNPC	Gate_GoldHill	EldGbl01	1564	1042	-148	0	IDGate	GoldHillGate00								
	#recordin	LinkTable								GoldHillGate00	KDGoldHill	KDGoldHill	7222	6151	0	60	120	0
	#recordin	ShineNPC	Gate_KingKong	Linkfield02	9574	4108	131	0	IDGate	KingKongGate00								
	#recordin	LinkTable								KingKongGate00	KDKingkong	KDKingkong	10136	6183	0	70	120	0
	#recordin	ShineNPC	Gate_AntiHenis	EldFor01	6838	6399	141	0	IDGate	AntiHenisGate00								
	#recordin	LinkTable								AntiHenisGate00	KDHenis	KDHenis	1740	11070	0	80	120	0
;	#recordin	ShineNPC	Gate_KingSpider	EldPri02	10002	11136	-35	0	IDGate	SpiderGate00								
;	#recordin	LinkTable								SpiderGate00	KDSpider	KDSpider	2397	2555	0	90	120	0
;	#recordin	ShineNPC	Gate_GordonMaster	UrgSwa01	3967	6749	-106	0	IDGate	GordonGate00								
;	#recordin	LinkTable								GordonGate00	KDEnMaze	KDEnMaze	1903	870	0	108	120	0
;	#recordin	ShineNPC	Gate_MiniDragon	UrgFire01	2465	17955	-52	0	IDGate	DragonGate00								
;	#recordin	LinkTable								DragonGate00	KDMDragon	KDMDragon	987	1211	0	108	120	0
;	#recordin	ShineNPC	Gate_Victor	UrgDark01	17911	15622	-136	0	IDGate	VictorGate00								
;	#recordin	LinkTable								VictorGate00	KDVictor	KDVictor	6097	693	0	114	120	0
;	?? ?? ?? ???																	
	#recordin	ShineNPC	MapLinkGate	EldGbl02	3303	1202	0	0	Gate	DarkCaveGate00								
	#recordin	LinkTable								DarkCaveGate00	DarkCave	DarkCave	2507	1356	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	DarkCave	2515	1282	0	0	Gate	DarkCaveGate01								
	#recordin	LinkTable								DarkCaveGate01	EldGbl02	EldGbl02	3303	1311	0	1	120	1
;	?? ?? ?? ???																	
;	#recordin	ShineNPC	MapLinkGate	EldSleep01	21797	11063	90	0	Gate	DarkTownGate00								
;	#recordin	LinkTable								DarkTownGate00	DarkTown	DarkTown	1266	4556	-90	1	120	1
;	#recordin	ShineNPC	MapLinkGate	DarkTown	1201	4557	-90	0	Gate	DarkTownGate01								
;	#recordin	LinkTable								DarkTownGate01	EldSleep01	EldSleep01	21788	11077	0	1	120	1
;	??? ? ??? ?? ??? ??																	
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	3504	10180	90	0	Gate	GateQField01								
;	#recordin	LinkTable								GateQField01	QField01	QField01	1454	1969	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	UrgSwa01	14407	22172	180	0	Gate	GateQField02								
;	#recordin	LinkTable								GateQField02	QField02	QField02	496	699	-83	1	120	1
;	??? ? ??? ?? ??? ??																	
;	#recordin	ShineNPC	MapLinkGate	QField01	1525	2123	0	0	Gate	GateQField03								
;	#recordin	LinkTable								GateQField03	UrgSwa01	UrgSwa01	4005	10180	-74	1	120	1
;	#recordin	ShineNPC	MapLinkGate	QField02	405	682	90	0	Gate	GateQField04								
;	#recordin	LinkTable								GateQField04	UrgSwa01	UrgSwa01	14397	22006	12	1	120	1
;	??? ? ??? ??? ??																	
	#recordin	ShineNPC	MapLinkGate	QField03	1384	1293	15	0	Gate	GateQField05								
	#recordin	LinkTable								GateQField05	UrgFire01	UrgFire01	1612	16654	30	1	120	1
	#recordin	ShineNPC	MapLinkGate	QField04	537	1359	60	0	Gate	GateQField06								
	#recordin	LinkTable								GateQField06	UrgFire01	UrgFire01	22021	22854	90	1	120	1
;	????? ?? ??? npc (??? ????? ??? ??)																	
	#recordin	ShineNPC	GB_Touter	Eld	17264	15805	12	0	RandomGate	GBHouse01								
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	2319	886	134	40	120	1
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	2301	2301	42	40	120	1
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	893	2305	-48	40	120	1
	#recordin	LinkTable								GBHouse01	GBHouse	GBHouse	898	896	-136	40	120	1
	#recordin	ShineNPC	GB_Touter	Urg	5759	7141	-43	0	RandomGate	GBHouse02								
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	2319	886	134	40	120	1
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	2301	2301	42	40	120	1
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	893	2305	-48	40	120	1
	#recordin	LinkTable								GBHouse02	GBHouse	GBHouse	898	896	-136	40	120	1
	#recordin	ShineNPC	GB_Touter	Urg_Alruin	6530	9072	56	0	RandomGate	GBHouse03								
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	2319	886	134	40	120	1
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	2301	2301	42	40	120	1
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	893	2305	-48	40	120	1
	#recordin	LinkTable								GBHouse03	GBHouse	GBHouse	898	896	-136	40	120	1
	#recordin	ShineNPC	GB_Touter	Bera	6232	2187	-60	0	RandomGate	GBHouse04								
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	2319	886	134	40	120	1
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	2301	2301	42	40	120	1
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	893	2305	-48	40	120	1
	#recordin	LinkTable								GBHouse04	GBHouse	GBHouse	898	896	-136	40	120	1
	#recordin	ShineNPC	GB_Touter	Adl	10889	14372	-7	0	RandomGate	GBHouse05								
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	2319	886	134	40	120	1
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	2301	2301	42	40	120	1
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	893	2305	-48	40	120	1
	#recordin	LinkTable								GBHouse05	GBHouse	GBHouse	898	896	-136	40	120	1
;	????																	
;	#recordin	ShineNPC	MapLinkGate	Adl	26566	18105	-110	0	Gate	Adl001								
;	#recordin	LinkTable								Adl001	UrgFire01	UrgFire01	18542	24464	56	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Adl	30149	14013	-90	0	Gate	Adl002								
